state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,2018,975,45
Arunachal Pradesh,1,1,0
Assam,65,34,2
Bihar,747,377,6
Chandigarh,174,24,2
Chhattisgarh,59,53,0
Dadar Nagar Haveli,1,0,0
Delhi,7233,2129,73
Goa,7,7,0
Gujarat,8541,2780,513
Haryana,730,337,11
Himachal Pradesh,59,39,2
Jammu and Kashmir,879,427,10
Jharkhand,160,78,3
Karnataka,862,426,31
Kerala,519,489,4
Ladakh,42,21,0
Madhya Pradesh,3785,1747,221
Maharashtra,23401,4786,868
Manipur,2,2,0
Meghalaya,13,10,1
Mizoram,1,1,0
Odisha,414,85,3
Puducherry,12,6,0
Punjab,1877,168,31
Rajasthan,3988,2264,113
Tamil Nadu,8002,2051,53
Telengana,1275,800,30
Tripura,152,2,0
Uttarakhand,68,46,1
Uttar Pradesh,3573,1758,80
West Bengal,2063,499,190
