state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,44,33,0
Andhra Pradesh,7071,3641,90
Arunachal Pradesh,99,7,0
Assam,4605,2642,8
Bihar,6942,4926,44
Chandigarh,368,303,6
Chhattisgarh,1864,1180,10
Dadra and Nagar Haveli and Daman and Diu,57,12,0
Delhi,47102,17457,1904
Goa,656,96,0
Gujarat,25093,17430,1560
Haryana,8832,3952,130
Himachal Pradesh,569,372,8
Jammu and Kashmir,5406,2914,65
Jharkhand,1895,1151,10
Karnataka,7734,4804,102
Kerala,2697,1326,20
Ladakh,687,92,1
Madhya Pradesh,11244,8388,482
Maharashtra,116752,59166,5651
Manipur,552,192,0
Meghalaya,44,30,1
Mizoram,121,1,0
Nagaland,193,103,0
Odisha,4338,3047,11
Puducherry,245,109,7
Punjab,3497,2538,78
Rajasthan,13542,10467,313
Sikkim,70,4,0
Tamil Nadu,50193,27624,576
Telangana,5675,3071,192
Tripura,1135,556,1
Uttarakhand,2023,1254,26
Uttar Pradesh,14598,8904,435
West Bengal,12300,6533,506
