state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,22,11,0
Andhra Pradesh,955,145,29
Arunachal Pradesh,1,1,0
Assam,36,19,1
Bihar,176,46,2
Chandigarh,27,14,0
Chhattisgarh,36,28,0
Delhi,2376,808,50
Goa,7,7,0
Gujarat,2624,258,112
Haryana,272,156,3
Himachal Pradesh,40,18,1
Jammu and Kashmir,427,92,5
Jharkhand,55,8,3
Karnataka,463,150,18
Kerala,448,324,3
Ladakh,18,14,0
Madhya Pradesh,1852,203,83
Maharashtra,6430,840,283
Manipur,2,2,0
Meghalaya,12,0,1
Mizoram,1,0,0
Odisha,90,33,1
Puducherry,7,3,0
Punjab,277,65,16
Rajasthan,1964,230,27
Tamil Nadu,1683,752,20
Telengana,984,253,26
Tripura,2,1,0
Uttarakhand,47,24,0
Uttar Pradesh,1604,206,24
West Bengal,514,103,15
