state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,149,77,0
Andhra Pradesh,22259,11101,264
Arunachal Pradesh,287,109,2
Assam,13336,8729,16
Bihar,13189,9554,107
Chandigarh,513,402,7
Chhattisgarh,3525,2835,14
Dadra and Nagar Haveli and Daman and Diu,408,184,0
Delhi,104864,78199,3213
Goa,2039,1207,8
Gujarat,38333,27289,1993
Haryana,18690,14106,282
Himachal Pradesh,1101,833,11
Jammu and Kashmir,9261,5567,149
Jharkhand,3096,2170,22
Karnataka,28877,11876,470
Kerala,6195,3559,27
Ladakh,1041,836,1
Madhya Pradesh,16036,11987,629
Maharashtra,223724,123192,9448
Manipur,1435,793,0
Meghalaya,80,43,1
Mizoram,197,133,0
Nagaland,657,304,0
Odisha,10624,7006,48
Puducherry,1008,480,14
Punjab,6907,4828,178
Rajasthan,22063,16866,482
Sikkim,133,71,0
Tamil Nadu,122350,74167,1700
Telangana,29536,17279,324
Tripura,1761,1324,1
Uttarakhand,3258,2650,46
Uttar Pradesh,31156,20331,845
West Bengal,24823,16291,827
