state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,44,33,0
Andhra Pradesh,6841,3509,88
Arunachal Pradesh,95,7,0
Assam,4319,2166,8
Bihar,6778,4644,41
Chandigarh,358,302,6
Chhattisgarh,1781,1036,9
Dadra and Nagar Haveli and Daman and Diu,45,9,0
Delhi,44688,16500,1837
Goa,629,85,0
Gujarat,24577,17082,1533
Haryana,8272,3748,118
Himachal Pradesh,560,372,8
Jammu and Kashmir,5298,2781,63
Jharkhand,1839,1121,9
Karnataka,7530,4456,94
Kerala,2622,1236,20
Ladakh,649,85,1
Madhya Pradesh,11083,8152,476
Maharashtra,113445,57851,5537
Manipur,500,159,0
Meghalaya,44,25,1
Mizoram,121,1,0
Nagaland,179,92,0
Odisha,4163,2974,11
Puducherry,216,99,6
Punjab,3371,2461,72
Rajasthan,13216,9849,308
Sikkim,70,4,0
Tamil Nadu,48019,26782,528
Telangana,5406,3027,191
Tripura,1092,433,1
Uttarakhand,1942,1216,25
Uttar Pradesh,14091,8610,417
West Bengal,11909,6028,495
