state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,32,0
Andhra Pradesh,1777,729,36
Arunachal Pradesh,1,1,0
Assam,45,32,1
Bihar,542,188,4
Chandigarh,120,21,1
Chhattisgarh,59,36,0
Dadar Nagar Haveli,1,0,0
Delhi,5532,1542,65
Goa,7,7,0
Gujarat,6625,1500,396
Haryana,594,260,7
Himachal Pradesh,45,38,2
Jammu and Kashmir,775,322,8
Jharkhand,127,37,3
Karnataka,693,354,29
Kerala,503,469,4
Ladakh,41,17,0
Madhya Pradesh,3138,1099,185
Maharashtra,16758,3094,651
Manipur,2,2,0
Meghalaya,12,10,1
Mizoram,1,0,0
Odisha,185,61,2
Puducherry,9,6,0
Punjab,1516,135,27
Rajasthan,3317,1596,92
Tamil Nadu,4829,1516,35
Telengana,1107,628,29
Tripura,43,2,0
Uttarakhand,61,39,1
