state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,4510,2620,73
Arunachal Pradesh,47,1,0
Assam,2397,547,4
Bihar,4915,2425,30
Chandigarh,309,273,5
Chhattisgarh,923,266,4
Dadar Nagar Haveli,19,1,0
Delhi,27654,10664,761
Goa,267,65,0
Gujarat,19592,13316,1219
Haryana,3952,2134,24
Himachal Pradesh,400,194,5
Jammu and Kashmir,3467,1126,39
Jharkhand,1000,473,7
Karnataka,5213,1968,59
Kerala,1807,762,15
Ladakh,99,48,1
Madhya Pradesh,9228,6108,399
Maharashtra,82968,37390,2969
Manipur,157,52,0
Meghalaya,33,13,1
Mizoram,24,1,0
Nagaland,107,0,0
Odisha,2781,1716,8
Puducherry,99,36,0
Punjab,2515,2092,50
Rajasthan,10331,7501,231
Sikkim,7,0,0
Tamil Nadu,30152,16395,251
Telengana,3496,1710,123
Tripura,747,173,0
Uttarakhand,1303,423,11
Uttar Pradesh,9733,5648,257
West Bengal,7738,3119,383
