state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,109,51,0
Andhra Pradesh,16097,7313,198
Arunachal Pradesh,195,66,1
Assam,9013,6106,12
Bihar,10471,8020,77
Chandigarh,450,389,6
Chhattisgarh,3013,2385,14
Dadra and Nagar Haveli and Daman and Diu,230,89,0
Delhi,92175,63007,2864
Goa,1482,734,4
Gujarat,33913,24593,1886
Haryana,15509,11019,251
Himachal Pradesh,1014,628,10
Jammu and Kashmir,7849,4974,115
Jharkhand,2584,1983,15
Karnataka,18016,8334,272
Kerala,4753,2640,25
Ladakh,990,730,1
Madhya Pradesh,14106,10815,589
Maharashtra,186626,101172,8178
Manipur,1279,617,0
Meghalaya,56,42,1
Mizoram,162,126,0
Nagaland,501,182,0
Odisha,7545,5502,27
Puducherry,802,331,12
Punjab,5784,4144,152
Rajasthan,18662,14948,430
Sikkim,102,53,0
Tamil Nadu,98392,56021,1321
Telangana,18570,9069,275
Tripura,1435,1146,1
Uttarakhand,2984,2405,42
Uttar Pradesh,24825,17221,735
West Bengal,19819,13037,699
