state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,147,75,0
Andhra Pradesh,21197,9745,252
Arunachal Pradesh,276,105,2
Assam,12522,8329,14
Bihar,12570,9284,104
Chandigarh,494,401,7
Chhattisgarh,3415,2751,14
Dadra and Nagar Haveli and Daman and Diu,405,183,0
Delhi,102831,74217,3165
Goa,1903,1156,8
Gujarat,37550,26720,1977
Haryana,17999,13645,279
Himachal Pradesh,1083,790,11
Jammu and Kashmir,8931,5399,143
Jharkhand,2996,2104,22
Karnataka,26815,11098,416
Kerala,5894,3452,27
Ladakh,1041,836,1
Madhya Pradesh,15627,11768,622
Maharashtra,217121,118558,9250
Manipur,1430,771,0
Meghalaya,80,43,1
Mizoram,197,133,0
Nagaland,625,243,0
Odisha,10097,6703,42
Puducherry,930,434,14
Punjab,6749,4554,175
Rajasthan,21404,16575,472
Sikkim,125,70,0
Tamil Nadu,118594,71116,1636
Telangana,27612,16287,313
Tripura,1704,1248,1
Uttarakhand,3230,2621,43
Uttar Pradesh,29968,19627,827
West Bengal,23837,15790,804
