state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,119,66,0
Andhra Pradesh,17699,8008,218
Arunachal Pradesh,259,76,1
Assam,10668,6657,14
Bihar,11700,8686,89
Chandigarh,460,395,6
Chhattisgarh,3161,2549,14
Dadra and Nagar Haveli and Daman and Diu,271,96,0
Delhi,97200,68256,3004
Goa,1684,825,6
Gujarat,35312,25406,1925
Haryana,16548,12257,260
Himachal Pradesh,1046,704,11
Jammu and Kashmir,8246,5143,127
Jharkhand,2739,2035,17
Karnataka,21549,9244,335
Kerala,5204,3048,25
Ladakh,1005,826,1
Madhya Pradesh,14604,11234,598
Maharashtra,200064,108082,8671
Manipur,1325,667,0
Meghalaya,62,43,1
Mizoram,164,130,0
Nagaland,563,228,0
Odisha,8601,5934,34
Puducherry,802,331,12
Punjab,6109,4306,162
Rajasthan,19532,15640,447
Sikkim,103,58,0
Tamil Nadu,107001,60592,1450
Telangana,22312,11537,288
Tripura,1546,1202,1
Uttarakhand,3093,2502,42
Uttar Pradesh,26554,18154,773
West Bengal,21231,14166,736
