state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,11,10,0
Andhra Pradesh,534,20,14
Arunachal Pradesh,1,0,0
Assam,35,5,1
Bihar,80,37,1
Chandigarh,21,9,0
Chhattisgarh,33,23,0
Delhi,1640,51,38
Goa,7,6,0
Gujarat,930,73,36
Haryana,205,43,3
Himachal Pradesh,35,16,1
Jammu and Kashmir,314,38,4
Jharkhand,28,0,2
Karnataka,315,82,13
Kerala,395,245,3
Ladakh,18,14,0
Madhya Pradesh,1120,64,53
Maharashtra,3205,300,194
Manipur,2,1,0
Meghalaya,7,0,1
Mizoram,1,0,0
Nagaland#,0,0,0
Odisha,60,19,1
Puducherry,7,1,0
Punjab,186,27,13
Rajasthan,1131,164,3
Tamil Nadu,1267,180,15
Telengana,700,186,18
Tripura,2,1,0
Uttarakhand,37,9,0
Uttar Pradesh,805,74,13
West Bengal,255,51,10
