state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,176,130,0
Andhra Pradesh,35451,18378,452
Arunachal Pradesh,462,153,3
Assam,18666,12173,46
Bihar,20612,13462,180
Chandigarh,625,459,11
Chhattisgarh,4539,3324,20
Dadra and Nagar Haveli and Daman and Diu,539,357,2
Delhi,116993,95699,3487
Goa,2951,1674,18
Gujarat,44552,31286,2079
Haryana,23306,17667,319
Himachal Pradesh,1341,979,11
Jammu and Kashmir,11666,6337,206
Jharkhand,4320,2485,38
Karnataka,47253,18466,928
Kerala,9553,4634,35
Ladakh,1142,964,1
Madhya Pradesh,19643,13908,682
Maharashtra,275640,152613,10928
Manipur,1700,989,0
Meghalaya,346,66,2
Mizoram,238,159,0
Nagaland,902,348,0
Odisha,14898,10476,77
Puducherry,1596,889,21
Punjab,8799,5867,221
Rajasthan,26437,19502,530
Sikkim,220,87,0
Tamil Nadu,151820,102310,2167
Telangana,39342,25999,386
Tripura,2268,1604,3
Uttarakhand,3785,2948,50
Uttar Pradesh,41383,25743,1012
West Bengal,34427,20680,1000
