state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,16,11,0
Andhra Pradesh,722,92,20
Arunachal Pradesh,1,0,0
Assam,35,19,1
Bihar,113,42,2
Chandigarh,26,13,0
Chhattisgarh,36,25,0
Delhi,2081,431,47
Goa,7,7,0
Gujarat,1939,131,71
Haryana,254,127,3
Himachal Pradesh,39,16,1
Jammu and Kashmir,368,71,5
Jharkhand,46,0,2
Karnataka,408,112,16
Kerala,408,291,3
Ladakh,18,14,0
Madhya Pradesh,1485,127,74
Maharashtra,4666,572,232
Manipur,2,2,0
Meghalaya,11,0,1
Mizoram,1,0,0
Nagaland,0,0,0
Odisha,74,24,1
Puducherry,7,3,0
Punjab,245,38,16
Rajasthan,1576,205,25
Tamil Nadu,1520,457,17
Telengana,873,190,23
Tripura,2,1,0
Uttarakhand,46,18,0
Uttar Pradesh,1184,140,18
