state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,156,92,0
Andhra Pradesh,25422,13194,292
Arunachal Pradesh,335,120,2
Assam,14600,9147,27
Bihar,14575,10109,119
Chandigarh,539,408,7
Chhattisgarh,3767,3028,17
Dadra and Nagar Haveli and Daman and Diu,459,211,0
Delhi,109140,84694,3300
Goa,2251,1347,9
Gujarat,40069,28147,2022
Haryana,19934,14904,290
Himachal Pradesh,1171,883,11
Jammu and Kashmir,9888,5786,159
Jharkhand,3419,2224,23
Karnataka,33418,13836,543
Kerala,6950,3820,27
Ladakh,1064,917,1
Madhya Pradesh,16657,12481,638
Maharashtra,238461,132625,9893
Manipur,1582,832,0
Meghalaya,207,66,2
Mizoram,226,143,0
Nagaland,732,304,0
Odisha,11956,7972,56
Puducherry,1272,637,17
Punjab,7357,5017,187
Rajasthan,23174,17620,497
Sikkim,134,80,0
Tamil Nadu,130261,82324,1829
Telangana,32224,19205,339
Tripura,1918,1372,1
Uttarakhand,3373,2706,46
Uttar Pradesh,33700,21787,889
West Bengal,27109,17348,880
