state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,14,11,0
Andhra Pradesh,603,42,15
Arunachal Pradesh,1,0,0
Assam,35,12,1
Bihar,86,37,2
Chandigarh,23,10,0
Chhattisgarh,36,24,0
Delhi,1893,72,43
Goa,7,6,0
Gujarat,1604,94,58
Haryana,233,87,3
Himachal Pradesh,39,16,1
Jammu and Kashmir,341,51,5
Jharkhand,35,0,2
Karnataka,384,104,14
Kerala,400,257,3
Ladakh,18,14,0
Madhya Pradesh,1407,127,70
Maharashtra,3651,365,211
Manipur,2,1,0
Meghalaya,11,0,1
Mizoram,1,0,0
Nagaland#,0,0,0
Odisha,61,24,1
Puducherry,7,3,0
Punjab,219,31,16
Rajasthan,1351,183,11
Tamil Nadu,1372,365,15
Telengana,844,186,18
Tripura,2,1,0
Uttarakhand,42,9,0
Uttar Pradesh,1084,108,17
