state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,2532,1621,52
Arunachal Pradesh,1,1,0
Assam,142,41,4
Bihar,1498,534,9
Chandigarh,200,57,3
Chhattisgarh,101,59,0
Dadar Nagar Haveli,1,0,0
Delhi,10554,4750,168
Goa,46,7,0
Gujarat,12140,5043,719
Haryana,964,627,14
Himachal Pradesh,92,47,3
Jammu and Kashmir,1317,653,17
Jharkhand,231,127,3
Karnataka,1397,544,40
Kerala,642,497,4
Ladakh,43,43,0
Madhya Pradesh,5465,2630,258
Maharashtra,37136,9639,1325
Manipur,9,2,0
Meghalaya,13,12,1
Mizoram,1,1,0
Odisha,978,277,5
Puducherry,18,9,1
Punjab,2002,1642,38
Rajasthan,5845,3337,143
Tamil Nadu,12448,4895,84
Telengana,1634,1010,38
Tripura,173,116,0
Uttarakhand,111,52,1
Uttar Pradesh,4926,2918,123
West Bengal,2961,1074,250
