state/ut,confirmed (indian),confirmed (foreign),cured/discharged,death
Andhra Pradesh,2,0,0,0
Chhattisgarh,1,0,0,0
Delhi,16,1,3,1
Gujarat,2,0,0,0
Haryana,3,14,0,0
Karnataka,15,0,0,1
Kerala,26,2,3,0
Maharashtra,44,3,0,1
Odisha,1,0,0,0
Puducherry,1,0,0,0
Punjab,2,0,0,1
Rajasthan,5,2,3,0
Tamil Nadu,3,0,1,0
Telengana,7,9,1,0
Union Territory of Chandigarh,1,0,0,0
Union Territory of Jammu and Kashmir,4,0,0,0
Union Territory of Ladakh,10,0,0,0
Uttar Pradesh,18,1,9,0
Uttarakhand,1,0,0,0
West Bengal,1,0,0,0
