state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,2355,1353,49
Arunachal Pradesh,1,1,0
Assam,92,41,2
Bihar,1179,453,7
Chandigarh,191,51,3
Chhattisgarh,67,56,0
Dadar Nagar Haveli,1,0,0
Delhi,9333,3926,129
Goa,17,7,0
Gujarat,10988,4308,625
Haryana,887,514,13
Himachal Pradesh,78,43,3
Jammu and Kashmir,1121,542,12
Jharkhand,217,113,3
Karnataka,1092,496,36
Kerala,587,495,4
Ladakh,43,22,0
Madhya Pradesh,4789,2315,243
Maharashtra,30706,7088,1135
Manipur,7,2,0
Meghalaya,13,11,1
Mizoram,1,1,0
Odisha,737,196,3
Puducherry,13,9,1
Punjab,1946,1257,32
Rajasthan,4960,2839,126
Tamil Nadu,10585,3538,74
Telengana,1509,971,34
Tripura,167,64,0
Uttarakhand,88,51,1
Uttar Pradesh,4258,2441,104
West Bengal,2576,872,232
