state/ut,confirmed,cured/discharged,death
Andhra Pradesh,427,11,7
Andaman and Nicobar Islands,11,10,0
Arunachal Pradesh,1,0,0
Assam,29,0,1
Bihar,64,19,1
Chandigarh,21,7,0
Chhattisgarh,31,10,0
Delhi,1154,27,24
Goa,7,5,0
Gujarat,516,44,25
Haryana,185,29,3
Himachal Pradesh,32,13,1
Jammu and Kashmir,245,6,4
Jharkhand,19,0,2
Karnataka,232,57,6
Kerala,376,179,2
Ladakh,15,10,0
Madhya Pradesh,564,0,36
Maharashtra,1985,217,149
Manipur,2,1,0
Mizoram,1,0,0
Odisha,54,12,1
Puducherry,7,1,0
Punjab,151,5,11
Rajasthan,804,21,3
Tamil Nadu,1043,50,11
Telengana,504,43,9
Tripura,2,0,0
Uttarakhand,35,5,0
Uttar Pradesh,483,46,5
West Bengal,152,29,7
