state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,38,33,0
Andhra Pradesh,6163,3314,84
Arunachal Pradesh,91,7,0
Assam,4049,1960,8
Bihar,6470,4170,39
Chandigarh,352,293,5
Chhattisgarh,1662,763,8
Dadra and Nagar Haveli and Daman and Diu,36,2,0
Delhi,41182,15823,1327
Goa,564,74,0
Gujarat,23544,16325,1477
Haryana,7208,3003,88
Himachal Pradesh,518,337,7
Jammu and Kashmir,5041,2389,59
Jharkhand,1745,905,8
Karnataka,7000,3955,86
Kerala,2461,1102,19
Ladakh,549,80,1
Madhya Pradesh,10802,7677,459
Maharashtra,107958,50978,3950
Manipur,458,91,0
Meghalaya,44,25,1
Mizoram,112,1,0
Nagaland,168,88,0
Odisha,3909,2708,11
Puducherry,194,91,5
Punjab,3140,2356,67
Rajasthan,12694,9566,292
Sikkim,68,4,0
Tamil Nadu,44661,24547,435
Telangana,4974,2377,185
Tripura,1076,315,1
Uttarakhand,1819,1111,24
Uttar Pradesh,13615,8268,399
West Bengal,11087,5060,475
