state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,1930,887,44
Arunachal Pradesh,1,1,0
Assam,63,34,2
Bihar,591,322,5
Chandigarh,169,24,2
Chhattisgarh,59,43,0
Dadar Nagar Haveli,1,0,0
Delhi,6542,2020,73
Goa,7,7,0
Gujarat,7796,2091,472
Haryana,675,290,9
Himachal Pradesh,50,38,2
Jammu and Kashmir,836,368,9
Jharkhand,156,78,3
Karnataka,794,386,30
Kerala,505,485,4
Ladakh,42,17,0
Madhya Pradesh,3614,1676,215
Maharashtra,20228,3800,779
Manipur,2,2,0
Meghalaya,13,10,1
Mizoram,1,1,0
Odisha,294,63,2
Puducherry,9,6,0
Punjab,1762,157,31
Rajasthan,3708,2026,106
Tamil Nadu,6535,1824,44
Telengana,1163,750,30
Tripura,134,2,0
Uttarakhand,67,46,1
