state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,2709,1763,55
Arunachal Pradesh,1,1,0
Assam,259,54,4
Bihar,2177,629,11
Chandigarh,218,178,3
Chhattisgarh,172,62,0
Dadar Nagar Haveli,1,0,0
Delhi,12319,5897,208
Goa,54,16,0
Gujarat,13268,5880,802
Haryana,1067,706,16
Himachal Pradesh,168,59,3
Jammu and Kashmir,1489,720,20
Jharkhand,308,136,3
Karnataka,1743,597,41
Kerala,732,512,4
Ladakh,44,43,0
Madhya Pradesh,6170,3089,272
Maharashtra,44582,12583,1517
Manipur,26,2,0
Meghalaya,14,12,1
Mizoram,1,1,0
Odisha,1189,436,7
Puducherry,26,10,0#
Punjab,2029,1847,39
Rajasthan,6494,3680,153
Tamil Nadu,14753,7128,98
Telengana,1761,1043,45
Tripura,175,152,0
Uttarakhand,153,56,1
Uttar Pradesh,5735,3238,152
West Bengal,3332,1221,265
