state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,15,0
Andhra Pradesh,1403,321,31
Arunachal Pradesh,1,1,0
Assam,42,29,1
Bihar,403,65,2
Chandigarh,56,17,0
Chhattisgarh,38,36,0
Delhi,3439,1092,56
Goa,7,7,0
Gujarat,4082,527,197
Haryana,310,209,3
Himachal Pradesh,40,25,1
Jammu and Kashmir,581,192,8
Jharkhand,107,19,3
Karnataka,557,223,21
Kerala,496,369,4
Ladakh,22,16,0
Madhya Pradesh,2660,461,130
Maharashtra,9915,1593,432
Manipur,2,2,0
Meghalaya,12,0,1
Mizoram,1,0,0
Odisha,128,39,1
Puducherry,8,5,0
Punjab,357,90,19
Rajasthan,2438,768,51
Tamil Nadu,2162,1210,27
Telengana,1012,367,26
Tripura,2,2,0
Uttarakhand,55,36,0
Uttar Pradesh,2203,513,39
