state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,34,33,0
Andhra Pradesh,5269,2899,78
Arunachal Pradesh,57,2,0
Assam,3092,1249,4
Bihar,5710,3071,33
Chandigarh,327,286,5
Chhattisgarh,1262,402,6
Dadar Nagar Haveli,26,2,0
Daman & Diu,2,0,0
Delhi,32810,12245,984
Goa,387,67,0
Gujarat,21521,14735,1347
Haryana,5579,2188,52
Himachal Pradesh,451,254,6
Jammu and Kashmir,4507,1671,51
Jharkhand,1489,592,8
Karnataka,6041,2862,69
Kerala,2161,905,18
Ladakh,115,52,1
Madhya Pradesh,10049,6892,427
Maharashtra,94041,44517,3438
Manipur,311,63,0
Meghalaya,44,13,1
Mizoram,93,1,0
Nagaland,128,22,0
Odisha,3250,2282,9
Puducherry,127,53,0
Punjab,2805,2232,55
Rajasthan,11600,8569,259
Sikkim,13,0,0
Tamil Nadu,36841,19333,326
Telengana,4111,1817,156
Tripura,895,239,1
Uttarakhand,1562,831,15
Uttar Pradesh,11610,6871,321
West Bengal,9328,3779,432
