state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,32,0
Andhra Pradesh,1717,589,36
Arunachal Pradesh,1,1,0
Assam,43,32,1
Bihar,529,130,4
Chandigarh,102,21,1
Chhattisgarh,58,36,0
Delhi,4898,1431,64
Goa,7,7,0
Gujarat,5804,1195,319
Haryana,517,254,6
Himachal Pradesh,41,38,1
Jammu and Kashmir,726,303,8
Jharkhand,115,27,3
Karnataka,659,324,28
Kerala,500,462,4
Ladakh,41,17,0
Madhya Pradesh,3049,1000,176
Maharashtra,14541,2465,583
Manipur,2,2,0
Meghalaya,12,10,1
Mizoram,1,0,0
Odisha,170,60,1
Puducherry,9,6,0
Punjab,1233,128,23
Rajasthan,3061,1394,77
Tamil Nadu,3550,1409,31
Telengana,1085,585,29
Tripura,29,2,0
Uttarakhand,60,39,1
