state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,15,0
Andhra Pradesh,1332,287,31
Arunachal Pradesh,1,1,0
Assam,38,29,1
Bihar,392,65,2
Chandigarh,56,17,0
Chhattisgarh,38,34,0
Delhi,3439,1092,56
Goa,7,7,0
Gujarat,4082,527,197
Haryana,310,209,3
Himachal Pradesh,40,25,1
Jammu and Kashmir,581,192,8
Jharkhand,107,19,3
Karnataka,535,216,21
Kerala,495,369,4
Ladakh,22,16,0
Madhya Pradesh,2561,461,129
Maharashtra,9915,1593,432
Manipur,2,2,0
Meghalaya,12,0,1
Mizoram,1,0,0
Odisha,125,39,1
Puducherry,8,3,0
Punjab,357,90,19
Rajasthan,2438,768,51
Tamil Nadu,2162,1210,27
Telengana,1012,367,26
Tripura,2,2,0
Uttarakhand,55,36,0
