state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,4080,2466,68
Arunachal Pradesh,38,1,0
Assam,1672,413,4
Bihar,4390,2077,25
Chandigarh,301,214,5
Chhattisgarh,668,188,2
Dadar Nagar Haveli,8,1,0
Delhi,23645,9542,606
Goa,79,57,0
Gujarat,18100,12212,1122
Haryana,2954,1089,23
Himachal Pradesh,359,150,5
Jammu and Kashmir,2857,1007,34
Jharkhand,752,321,5
Karnataka,4063,1514,53
Kerala,1494,651,11
Ladakh,90,48,1
Madhya Pradesh,8588,5445,371
Maharashtra,74860,32329,2587
Manipur,118,38,0
Meghalaya,33,13,1
Mizoram,14,1,0
Nagaland,58,0,0
Odisha,2388,1416,7
Puducherry,82,25,0
Punjab,2376,2029,47
Rajasthan,9652,6744,209
Sikkim,2,0,0
Tamil Nadu,25872,14316,208
Telengana,3020,1556,99
Tripura,468,173,0
Uttarakhand,1085,282,8
Uttar Pradesh,8729,5176,229
West Bengal,6508,2580,345
