state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,38,33,0
Andhra Pradesh,5429,3048,80
Arunachal Pradesh,61,4,0
Assam,3319,1432,6
Bihar,5983,3266,36
Chandigarh,332,286,5
Chhattisgarh,1398,447,6
Dadra and Nagar Haveli and Daman and Diu,30,2,0
Delhi,34687,12731,1085
Goa,417,67,0
Gujarat,22032,15101,1385
Haryana,5968,2260,64
Himachal Pradesh,470,280,6
Jammu and Kashmir,4574,1820,52
Jharkhand,1599,630,8
Karnataka,6245,2977,72
Kerala,2244,968,18
Ladakh,135,54,1
Madhya Pradesh,10241,7042,431
Maharashtra,97648,46078,3590
Manipur,366,73,0
Meghalaya,44,18,1
Mizoram,102,1,0
Nagaland,128,22,0
Odisha,3386,2354,9
Puducherry,157,67,2
Punjab,2887,2259,59
Rajasthan,11838,8775,265
Sikkim,14,2,0
Tamil Nadu,38716,20705,349
Telangana,4320,1993,165
Tripura,913,278,1
Uttarakhand,1643,842,15
Uttar Pradesh,12088,7292,345
West Bengal,9768,3988,442
