state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,207,152,0
Andhra Pradesh,53724,24228,696
Arunachal Pradesh,790,285,3
Assam,25382,17095,58
Bihar,27646,17433,217
Chandigarh,737,518,12
Chhattisgarh,5561,3944,25
Dadra and Nagar Haveli and Daman and Diu,684,448,2
Delhi,123747,104918,3663
Goa,3853,2361,23
Gujarat,49353,35678,2162
Haryana,26858,20226,355
Himachal Pradesh,1631,1067,11
Jammu and Kashmir,14650,8274,254
Jharkhand,5756,2810,53
Karnataka,67420,23795,1403
Kerala,13274,5616,43
Ladakh,1195,1007,2
Madhya Pradesh,23310,15684,738
Maharashtra,318695,175029,12030
Manipur,1925,1307,0
Meghalaya,466,66,4
Mizoram,297,168,0
Nagaland,1021,484,0
Odisha,18110,12910,97
Puducherry,2092,1265,29
Punjab,10510,7118,262
Rajasthan,30390,22195,568
Sikkim,305,92,0
Tamil Nadu,175678,121776,2551
Telangana,46274,34323,422
Tripura,3079,1845,7
Uttarakhand,4642,3212,55
Uttar Pradesh,51160,30831,1192
