state/ut,confirmed,cured/discharged,death
Andhra Pradesh,432,11,7
Andaman and Nicobar Islands,11,10,0
Arunachal Pradesh,1,0,0
Assam,31,0,1
Bihar,65,26,1
Chandigarh,21,7,0
Chhattisgarh,31,10,0
Delhi,1510,30,28
Goa,7,5,0
Gujarat,539,54,26
Haryana,185,29,3
Himachal Pradesh,32,13,1
Jammu and Kashmir,270,16,4
Jharkhand,24,0,2
Karnataka,247,59,6
Kerala,379,198,3
Ladakh,15,10,0
Madhya Pradesh,604,44,43
Maharashtra,2334,217,160
Manipur,2,1,0
Mizoram,1,0,0
Nagaland,1,0,0
Odisha,54,12,1
Puducherry,7,1,0
Punjab,167,14,11
Rajasthan,873,21,3
Tamil Nadu,1173,58,11
Telengana,562,100,16
Tripura,2,0,0
Uttarakhand,35,5,0
Uttar Pradesh,558,49,5
West Bengal,190,36,7
