state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,141,74,0
Andhra Pradesh,20019,8920,239
Arunachal Pradesh,270,92,2
Assam,12160,7882,14
Bihar,12125,8997,97
Chandigarh,489,401,6
Chhattisgarh,3305,2667,14
Dadra and Nagar Haveli and Daman and Diu,297,114,0
Delhi,100823,72088,3115
Goa,1813,1061,7
Gujarat,36772,26315,1960
Haryana,17504,13335,276
Himachal Pradesh,1077,763,11
Jammu and Kashmir,8675,5318,138
Jharkhand,2847,2068,20
Karnataka,25317,10527,401
Kerala,5622,3341,27
Ladakh,1005,836,1
Madhya Pradesh,15284,11579,617
Maharashtra,211987,115262,9026
Manipur,1390,734,0
Meghalaya,80,43,1
Mizoram,197,133,0
Nagaland,625,243,0
Odisha,9526,6486,38
Puducherry,802,331,12
Punjab,6491,4494,169
Rajasthan,20688,16278,461
Sikkim,125,65,0
Tamil Nadu,114978,66571,1571
Telangana,25733,14781,306
Tripura,1680,1219,1
Uttarakhand,3161,2586,42
Uttar Pradesh,28636,19109,809
West Bengal,22987,15235,779
