state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,76,45,0
Andhra Pradesh,13241,5908,169
Arunachal Pradesh,182,60,1
Assam,7206,5088,10
Bihar,9212,7118,60
Chandigarh,429,336,6
Chhattisgarh,2662,2091,13
Dadra and Nagar Haveli and Daman and Diu,178,60,0
Delhi,83077,52607,2623
Goa,1198,478,3
Gujarat,31320,22800,1808
Haryana,13829,8917,223
Himachal Pradesh,916,529,9
Jammu and Kashmir,7093,4316,94
Jharkhand,2364,1793,12
Karnataka,13190,7507,207
Kerala,4189,2152,22
Ladakh,963,586,1
Madhya Pradesh,13186,10084,557
Maharashtra,164626,86575,7429
Manipur,1185,455,0
Meghalaya,47,42,1
Mizoram,148,55,0
Nagaland,415,164,0
Odisha,6614,4743,21
Puducherry,619,221,10
Punjab,5216,3526,133
Rajasthan,17271,13611,399
Sikkim,88,49,0
Tamil Nadu,82275,45537,1079
Telangana,14419,5172,247
Tripura,1346,1079,1
Uttarakhand,2823,2018,38
Uttar Pradesh,22147,14808,660
West Bengal,17283,11193,639
