state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,163,93,0
Andhra Pradesh,27235,14393,309
Arunachal Pradesh,341,125,2
Assam,15536,9150,35
Bihar,15373,10685,131
Chandigarh,555,413,7
Chhattisgarh,3897,3070,17
Dadra and Nagar Haveli and Daman and Diu,471,226,0
Delhi,110921,87692,3334
Goa,2368,1428,12
Gujarat,40941,28649,2032
Haryana,20582,15394,297
Himachal Pradesh,1182,908,11
Jammu and Kashmir,10156,5895,169
Jharkhand,3613,2243,23
Karnataka,36216,14716,613
Kerala,7438,3963,29
Ladakh,1077,928,1
Madhya Pradesh,17201,12679,644
Maharashtra,246600,136985,10116
Manipur,1593,843,0
Meghalaya,207,66,2
Mizoram,227,150,0
Nagaland,748,313,0
Odisha,12526,8360,61
Puducherry,1337,690,18
Punjab,7587,5040,195
Rajasthan,23748,17869,503
Sikkim,151,80,0
Tamil Nadu,134226,85915,1898
Telangana,33402,20919,348
Tripura,1949,1375,2
Uttarakhand,3417,2718,46
Uttar Pradesh,35092,22689,913
West Bengal,28453,17959,906
