state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,2090,1056,46
Arunachal Pradesh,1,1,0
Assam,65,39,2
Bihar,831,383,6
Chandigarh,187,28,3
Chhattisgarh,59,54,0
Dadar Nagar Haveli,1,0,0
Delhi,7639,2512,86
Goa,7,7,0
Gujarat,8903,3246,537
Haryana,780,342,11
Himachal Pradesh,65,39,2
Jammu and Kashmir,934,455,10
Jharkhand,172,79,3
Karnataka,925,433,31
Kerala,524,489,4
Ladakh,42,21,0
Madhya Pradesh,3986,1860,225
Maharashtra,24427,5125,921
Manipur,2,2,0
Meghalaya,13,10,1
Mizoram,1,1,0
Odisha,437,116,3
Puducherry,13,9,1
Punjab,1914,171,32
Rajasthan,4126,2378,117
Tamil Nadu,8718,2134,61
Telengana,1326,830,32
Tripura,154,2,0
Uttarakhand,69,46,1
Uttar Pradesh,3664,1873,82
West Bengal,2173,612,198
