state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,1847,780,38
Arunachal Pradesh,1,1,0
Assam,54,34,1
Bihar,550,246,5
Chandigarh,135,21,1
Chhattisgarh,59,38,0
Dadar Nagar Haveli,1,0,0
Delhi,5980,1931,66
Goa,7,7,0
Gujarat,7012,1709,425
Haryana,625,260,7
Himachal Pradesh,46,38,2
Jammu and Kashmir,793,335,9
Jharkhand,132,41,3
Karnataka,705,366,30
Kerala,503,474,4
Ladakh,42,17,0
Madhya Pradesh,3252,1231,193
Maharashtra,17974,3301,694
Manipur,2,2,0
Meghalaya,12,10,1
Mizoram,1,0,0
Odisha,219,62,2
Puducherry,9,6,0
Punjab,1644,149,28
Rajasthan,3427,1596,97
Tamil Nadu,5409,1547,37
Telengana,1123,650,29
Tripura,65,2,0
Uttarakhand,61,39,1
