state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,166,109,0
Andhra Pradesh,33019,17467,408
Arunachal Pradesh,462,153,3
Assam,17807,11416,40
Bihar,19284,12849,174
Chandigarh,600,446,10
Chhattisgarh,4379,3275,20
Dadra and Nagar Haveli and Daman and Diu,520,310,1
Delhi,115346,93236,3446
Goa,2753,1607,18
Gujarat,43637,30503,2069
Haryana,22628,17090,312
Himachal Pradesh,1309,951,11
Jammu and Kashmir,11173,6223,195
Jharkhand,4091,2427,36
Karnataka,44077,17390,842
Kerala,8930,4438,34
Ladakh,1093,946,1
Madhya Pradesh,19005,13575,673
Maharashtra,267665,149007,10695
Manipur,1672,970,0
Meghalaya,318,66,2
Mizoram,238,159,0
Nagaland,896,346,0
Odisha,14280,9864,74
Puducherry,1531,829,18
Punjab,8511,5663,213
Rajasthan,25571,19161,525
Sikkim,209,87,0
Tamil Nadu,147324,97310,2099
Telangana,37745,24840,375
Tripura,2170,1538,2
Uttarakhand,3686,2867,50
Uttar Pradesh,39724,24983,983
West Bengal,32838,19931,980
