state/ut,confirmed,cured/discharged,death
Andhra Pradesh,266,1,3
Andaman and Nicobar Islands,10,0,0
Arunachal Pradesh,1,0,0
Assam,26,0,0
Bihar,32,0,1
Chandigarh,18,0,0
Chhattisgarh,10,8,0
Delhi,523,19,7
Goa,7,0,0
Gujarat,144,22,12
Haryana,90,25,1
Himachal Pradesh,13,2,1
Jammu and Kashmir,109,4,2
Jharkhand,4,0,0
Karnataka,151,12,4
Kerala,327,58,2
Ladakh,14,10,0
Madhya Pradesh,165,0,9
Maharashtra,748,56,45
Manipur,2,0,0
Mizoram,1,0,0
Odisha,21,2,0
Puducherry,5,1,0
Punjab,76,4,6
Rajasthan,288,21,3
Tamil Nadu,621,8,5
Telengana,321,34,7
Tripura,1,0,0
Uttarakhand,31,5,0
Uttar Pradesh,305,21,3
West Bengal,91,13,3
