state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,4708,2682,75
Arunachal Pradesh,51,1,0
Assam,2565,615,4
Bihar,5088,2480,30
Chandigarh,314,273,5
Chhattisgarh,1073,283,4
Dadar Nagar Haveli,20,2,0
Delhi,27654,10664,761
Goa,300,65,0
Gujarat,20070,13635,1249
Haryana,4448,2134,28
Himachal Pradesh,413,224,5
Jammu and Kashmir,4087,1216,41
Jharkhand,1099,490,7
Karnataka,5452,2132,61
Kerala,1914,803,15
Ladakh,103,50,1
Madhya Pradesh,9401,6331,412
Maharashtra,85975,39314,3060
Manipur,172,52,0
Meghalaya,36,13,1
Mizoram,34,1,0
Nagaland,118,8,0
Odisha,2856,1894,9
Puducherry,99,36,0
Punjab,2608,2106,51
Rajasthan,10599,7641,240
Sikkim,7,0,0
Tamil Nadu,31667,16999,269
Telengana,3580,1710,123
Tripura,800,192,0
Uttarakhand,1355,528,13
Uttar Pradesh,10536,6185,275
West Bengal,8187,3303,396
