state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,3251,2125,59
Arunachal Pradesh,3,1,0
Assam,856,104,4
Bihar,3296,1211,15
Chandigarh,288,189,4
Chhattisgarh,399,83,0
Dadar Nagar Haveli,2,0,0
Delhi,16281,7495,316
Goa,69,38,0
Gujarat,15562,8003,960
Haryana,1504,881,19
Himachal Pradesh,276,70,5
Jammu and Kashmir,2036,859,27
Jharkhand,469,212,4
Karnataka,2533,834,47
Kerala,1088,555,7
Ladakh,73,43,0
Madhya Pradesh,7453,4050,321
Maharashtra,59546,18616,1982
Manipur,55,5,0
Meghalaya,21,12,1
Mizoram,1,1,0
Nagaland,18,0,0
Odisha,1660,887,7
Puducherry,51,14,0
Punjab,2158,1946,40
Rajasthan,8067,4817,180
Sikkim,1,0,0
Tamil Nadu,19372,10548,145
Telengana,2256,1345,67
Tripura,242,167,0
Uttarakhand,500,79,4
Uttar Pradesh,7170,4215,197
West Bengal,4536,1668,295
