state/ut,confirmed,cured/discharged,death
Andhra Pradesh,161,1,1
Andaman and Nicobar Islands,10,0,0
Arunachal Pradesh,1,0,0
Assam,24,0,0
Bihar,30,0,1
Chandigarh,18,0,0
Chhattisgarh,9,3,0
Delhi,445,15,6
Goa,7,0,0
Gujarat,105,14,10
Haryana,49,24,0
Himachal Pradesh,6,1,1
Jammu and Kashmir,75,3,2
Jharkhand,2,0,0
Karnataka,128,12,3
Kerala,295,41,2
Ladakh,14,3,0
Madhya Pradesh,104,0,6
Maharashtra,490,42,24
Manipur,2,0,0
Mizoram,1,0,0
Odisha,5,0,0
Puducherry,5,1,0
Punjab,57,1,5
Rajasthan,200,21,0
Tamil Nadu,411,6,2
Telengana,159,1,7
Uttarakhand,16,2,0
Uttar Pradesh,174,19,2
West Bengal,69,3,3
