state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,72,43,0
Andhra Pradesh,12285,5480,157
Arunachal Pradesh,177,54,1
Assam,6816,4500,9
Bihar,8931,6843,59
Chandigarh,428,335,6
Chhattisgarh,2545,1914,13
Dadra and Nagar Haveli and Daman and Diu,177,55,0
Delhi,80188,49301,2558
Goa,1128,420,2
Gujarat,30709,22409,1789
Haryana,13427,8472,218
Himachal Pradesh,894,509,9
Jammu and Kashmir,6966,4225,93
Jharkhand,2339,1724,12
Karnataka,11923,7287,191
Kerala,4071,2110,22
Ladakh,960,554,1
Madhya Pradesh,12965,9971,550
Maharashtra,159133,84245,7273
Manipur,1092,432,0
Meghalaya,47,42,1
Mizoram,148,55,0
Nagaland,387,164,0
Odisha,6350,4606,18
Puducherry,619,221,10
Punjab,5056,3320,128
Rajasthan,16944,13367,391
Sikkim,87,46,0
Tamil Nadu,78335,44094,1025
Telangana,13436,4928,243
Tripura,1334,1071,1
Uttarakhand,2791,1912,37
Uttar Pradesh,21549,14215,649
West Bengal,16711,10789,629
