state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,240,170,0
Andhra Pradesh,72711,37555,884
Arunachal Pradesh,991,334,3
Assam,28791,20699,70
Bihar,31980,20769,217
Chandigarh,800,531,13
Chhattisgarh,6254,4377,30
Dadra and Nagar Haveli and Daman and Diu,770,489,2
Delhi,127364,109065,3745
Goa,4350,2655,29
Gujarat,52477,37978,2252
Haryana,28975,22249,378
Himachal Pradesh,1834,1136,11
Jammu and Kashmir,16429,8709,282
Jharkhand,6975,3174,67
Karnataka,80863,29310,1616
Kerala,16110,6594,50
Ladakh,1210,1025,2
Madhya Pradesh,25474,17359,780
Maharashtra,347502,194253,12854
Manipur,2115,1466,0
Meghalaya,534,78,4
Mizoram,332,183,0
Nagaland,1174,530,0
Odisha,21099,14393,114
Puducherry,2420,1400,34
Punjab,11739,7741,277
Rajasthan,33220,23815,594
Sikkim,460,122,0
Tamil Nadu,192964,136793,3232
Telangana,50826,39327,447
Tripura,3656,2072,10
Uttarakhand,5445,3399,60
Uttar Pradesh,58104,35803,1289
