state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,290,176,0
Andhra Pradesh,88671,43255,985
Arunachal Pradesh,1126,428,3
Assam,31086,23055,77
Bihar,36604,24053,234
Chandigarh,852,555,13
Chhattisgarh,7087,4683,39
Dadra and Nagar Haveli and Daman and Diu,860,530,2
Delhi,129531,113068,3806
Goa,4686,3047,33
Gujarat,54626,39631,2300
Haryana,30538,23654,389
Himachal Pradesh,2049,1173,11
Jammu and Kashmir,17305,9517,305
Jharkhand,7836,3425,82
Karnataka,90942,33750,1796
Kerala,18098,8611,59
Ladakh,1276,1057,3
Madhya Pradesh,26926,18488,799
Maharashtra,366368,207194,13389
Manipur,2176,1524,0
Meghalaya,646,94,5
Mizoram,361,183,0
Nagaland,1289,541,4
Odisha,24013,15929,130
Puducherry,2654,1561,38
Punjab,12684,8297,291
Rajasthan,35298,25306,613
Sikkim,499,142,0
Tamil Nadu,206737,151055,3409
Telangana***,52466,40334,455
Tripura,3862,2209,11
Uttarakhand,5961,3495,63
Uttar Pradesh,63742,39903,1387
West Bengal,56377,35654,1332
