state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,2137,1142,47
Arunachal Pradesh,1,1,0
Assam,80,39,2
Bihar,940,388,7
Chandigarh,187,28,3
Chhattisgarh,59,55,0
Dadar Nagar Haveli,1,0,0
Delhi,7998,2858,106
Goa,7,7,0
Gujarat,9267,3562,566
Haryana,793,418,11
Himachal Pradesh,66,39,2
Jammu and Kashmir,971,466,11
Jharkhand,173,79,3
Karnataka,959,451,33
Kerala,534,490,4
Ladakh,43,22,0
Madhya Pradesh,4173,2004,232
Maharashtra,25922,5547,975
Manipur,2,2,0
Meghalaya,13,10,1
Mizoram,1,1,0
Odisha,538,143,3
Puducherry,13,9,1
Punjab,1924,200,32
Rajasthan,4328,2459,121
Tamil Nadu,9227,2176,64
Telengana,1367,940,34
Tripura,155,16,0
Uttarakhand,72,46,1
Uttar Pradesh,3729,1902,83
West Bengal,2290,702,207
