state/ut,confirmed,cured/discharged,death
Andhra Pradesh,473,14,9
Andaman and Nicobar Islands,11,10,0
Arunachal Pradesh,1,0,0
Assam,31,0,1
Bihar,66,26,1
Chandigarh,21,7,0
Chhattisgarh,31,10,0
Delhi,1510,30,28
Goa,7,5,0
Gujarat,617,55,26
Haryana,199,34,3
Himachal Pradesh,32,13,1
Jammu and Kashmir,270,16,4
Jharkhand,24,0,2
Karnataka,258,65,9
Kerala,379,198,3
Ladakh,15,10,0
Madhya Pradesh,730,51,50
Maharashtra,2337,229,160
Manipur,2,1,0
Meghalaya,1,0,0
Mizoram,1,0,0
Nagaland,1,0,0
Odisha,55,18,1
Puducherry,7,1,0
Punjab,176,14,12
Rajasthan,879,133,3
Tamil Nadu,1173,58,11
Telengana,624,100,17
Tripura,2,0,0
Uttarakhand,35,7,0
Uttar Pradesh,657,49,5
West Bengal,190,36,7
