state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,72,43,0
Andhra Pradesh,11489,5196,148
Arunachal Pradesh,172,42,1
Assam,6607,4259,9
Bihar,8716,6762,58
Chandigarh,425,335,6
Chhattisgarh,2545,1914,13
Dadra and Nagar Haveli and Daman and Diu,163,41,0
Delhi,77240,47091,2492
Goa,1039,370,2
Gujarat,30095,22030,1771
Haryana,12884,8016,211
Himachal Pradesh,864,502,9
Jammu and Kashmir,6762,4080,91
Jharkhand,2290,1643,12
Karnataka,11005,6916,180
Kerala,3876,2008,22
Ladakh,946,358,1
Madhya Pradesh,12798,9804,546
Maharashtra,152765,79815,7106
Manipur,1075,393,0
Meghalaya,47,42,1
Mizoram,145,30,0
Nagaland,371,162,0
Odisha,6180,4422,17
Puducherry,502,187,9
Punjab,4957,3201,122
Rajasthan,16660,13062,380
Sikkim,86,39,0
Tamil Nadu,74622,41357,957
Telangana,12349,4766,237
Tripura,1325,1055,1
Uttarakhand,2725,1822,37
Uttar Pradesh,20943,13583,630
West Bengal,16190,10535,616
