state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,56,43,0
Andhra Pradesh,10331,4779,124
Arunachal Pradesh,158,38,0
Assam,6198,3958,9
Bihar,8209,6113,57
Chandigarh,420,323,6
Chhattisgarh,2419,1627,12
Dadra and Nagar Haveli and Daman and Diu,120,30,0
Delhi,70390,41437,2365
Goa,951,289,2
Gujarat,28943,21088,1735
Haryana,12010,6925,188
Himachal Pradesh,806,466,8
Jammu and Kashmir,6422,3818,88
Jharkhand,2207,1570,11
Karnataka,10118,6151,164
Kerala,3603,1888,22
Ladakh,941,274,1
Madhya Pradesh,12448,9473,534
Maharashtra,142900,73792,6739
Manipur,970,328,0
Meghalaya,46,42,1
Mizoram,142,19,0
Nagaland,347,148,0
Odisha,5752,4123,17
Puducherry,461,176,9
Punjab,4627,3099,113
Rajasthan,16009,12611,375
Sikkim,84,39,0
Tamil Nadu,67468,37763,866
Telangana,10444,4361,225
Tripura,1259,897,1
Uttarakhand,2623,1721,35
Uttar Pradesh,19557,12586,596
West Bengal,15173,9702,591
