state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,4851,2745,75
Arunachal Pradesh,51,1,0
Assam,2776,665,4
Bihar,5202,2499,31
Chandigarh,317,273,5
Chhattisgarh,1160,308,4
Dadar Nagar Haveli,22,2,0
Delhi,29943,11357,874
Goa,330,67,0
Gujarat,20545,13956,1280
Haryana,4854,2134,39
Himachal Pradesh,421,227,5
Jammu and Kashmir,4285,1324,45
Jharkhand,1256,519,7
Karnataka,5760,2519,64
Kerala,2005,814,16
Ladakh,103,52,1
Madhya Pradesh,9638,6536,414
Maharashtra,88528,40975,3169
Manipur,272,58,0
Meghalaya,36,13,1
Mizoram,42,1,0
Nagaland,123,8,0
Odisha,2994,1993,9
Puducherry,127,52,0
Punjab,2663,2128,53
Rajasthan,10763,8004,246
Sikkim,7,0,0
Tamil Nadu,33229,17527,286
Telengana,3742,1809,142
Tripura,838,192,0
Uttarakhand,1411,714,13
Uttar Pradesh,10947,6344,283
West Bengal,8613,3465,405
