state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,38,33,0
Andhra Pradesh,5680,3105,80
Arunachal Pradesh,67,4,0
Assam,3498,1537,8
Bihar,6103,3587,36
Chandigarh,334,286,5
Chhattisgarh,1429,550,6
Dadra and Nagar Haveli and Daman and Diu,30,2,0
Delhi,36824,13398,1214
Goa,463,69,0
Gujarat,22527,15493,1415
Haryana,6334,2475,70
Himachal Pradesh,486,297,6
Jammu and Kashmir,4730,2086,53
Jharkhand,1617,672,8
Karnataka,6516,3440,79
Kerala,2322,1000,19
Ladakh,239,62,1
Madhya Pradesh,10443,7201,440
Maharashtra,101141,47796,3717
Manipur,385,77,0
Meghalaya,44,22,1
Mizoram,104,1,0
Nagaland,156,49,0
Odisha,3498,2474,10
Puducherry,157,67,2
Punjab,2986,2282,63
Rajasthan,12068,8898,272
Sikkim,63,2,0
Tamil Nadu,40698,22047,367
Telangana,4484,2278,174
Tripura,961,278,1
Uttarakhand,1724,947,21
Uttar Pradesh,12616,7609,365
West Bengal,10244,4206,451
