state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,3110,1896,56
Arunachal Pradesh,2,1,0
Assam,526,62,4
Bihar,2730,749,13
Chandigarh,238,186,3
Chhattisgarh,291,72,0
Dadar Nagar Haveli,2,0,0
Delhi,14053,6771,276
Goa,67,19,0
Gujarat,14460,6636,888
Haryana,1184,765,16
Himachal Pradesh,223,67,5
Jammu and Kashmir,1668,809,23
Jharkhand,377,148,4
Karnataka,2182,705,44
Kerala,896,532,5
Ladakh,52,43,0
Madhya Pradesh,6859,3571,300
Maharashtra,52667,15786,1695
Manipur,39,4,0
Meghalaya,14,12,1
Mizoram,1,1,0
Nagaland,3,0,0
Odisha,1438,649,7
Puducherry,41,12,0
Punjab,2060,1898,40
Rajasthan,7300,3951,167
Sikkim,1,0,0
Tamil Nadu,17082,8731,118
Telengana,1920,1164,56
Tripura,194,165,0
Uttarakhand,349,58,3
Uttar Pradesh,6532,3581,165
West Bengal,3816,1414,278
