state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,41,33,0
Andhra Pradesh,6456,3316,88
Arunachal Pradesh,91,7,0
Assam,4158,2166,8
Bihar,6650,4409,40
Chandigarh,354,296,6
Chhattisgarh,1756,890,8
Dadra and Nagar Haveli and Daman and Diu,36,5,0
Delhi,42829,16427,1400
Goa,592,85,0
Gujarat,24055,16664,1505
Haryana,7722,3565,100
Himachal Pradesh,556,353,8
Jammu and Kashmir,5220,2604,62
Jharkhand,1763,905,8
Karnataka,7213,4135,89
Kerala,2543,1175,20
Ladakh,555,82,1
Madhya Pradesh,10935,7903,465
Maharashtra,110744,56049,4128
Manipur,490,151,0
Meghalaya,44,25,1
Mizoram,117,1,0
Nagaland,177,92,0
Odisha,4055,2854,11
Puducherry,202,95,5
Punjab,3267,2443,71
Rajasthan,12981,9785,301
Sikkim,68,4,0
Tamil Nadu,46504,25344,479
Telangana,5193,2766,187
Tripura,1086,433,1
Uttarakhand,1845,1189,24
Uttar Pradesh,13615,8268,399
West Bengal,11494,5494,485
