state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,2823,1856,56
Arunachal Pradesh,1,1,0
Assam,378,55,4
Bihar,2587,702,13
Chandigarh,238,186,3
Chhattisgarh,252,67,0
Dadar Nagar Haveli,2,0,0
Delhi,13418,6540,261
Goa,66,19,0
Gujarat,14056,6412,858
Haryana,1184,765,16
Himachal Pradesh,203,63,3
Jammu and Kashmir,1621,809,21
Jharkhand,370,148,4
Karnataka,2089,654,42
Kerala,847,521,4
Ladakh,52,43,0
Madhya Pradesh,6665,3408,290
Maharashtra,50231,14600,1635
Manipur,32,4,0
Meghalaya,14,12,1
Mizoram,1,1,0
Odisha,1336,550,7
Puducherry,41,12,0
Punjab,2060,1898,40
Rajasthan,7028,3848,163
Sikkim,1,0,0
Tamil Nadu,16277,8324,111
Telengana,1854,1090,53
Tripura,191,165,0
Uttarakhand,317,58,3
Uttar Pradesh,6268,3538,161
West Bengal,3667,1339,272
