state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,194,142,0
Andhra Pradesh,40646,20298,534
Arunachal Pradesh,609,175,3
Assam,20646,14105,51
Bihar,23589,14621,201
Chandigarh,660,480,11
Chhattisgarh,4964,3512,23
Dadra and Nagar Haveli and Daman and Diu,585,401,2
Delhi,120107,99301,3571
Goa,3304,1946,21
Gujarat,46430,32973,2106
Haryana,24797,18718,327
Himachal Pradesh,1417,1024,11
Jammu and Kashmir,12757,6558,231
Jharkhand,4921,2570,46
Karnataka,55115,20757,1147
Kerala,11066,4995,38
Ladakh,1151,973,1
Madhya Pradesh,21081,14514,697
Maharashtra,292589,160357,11452
Manipur,1800,1163,0
Meghalaya,403,66,2
Mizoram,282,160,0
Nagaland,956,405,0
Odisha,16110,11330,83
Puducherry,1832,1014,25
Punjab,9442,6373,239
Rajasthan,27789,20626,546
Sikkim,266,90,0
Tamil Nadu,160907,110807,2315
Telangana,42496,28705,403
Tripura,2366,1684,3
Uttarakhand,4102,3021,51
Uttar Pradesh,45163,27634,1084
West Bengal,38011,22253,1049
