state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,166,109,0
Andhra Pradesh,31103,16464,365
Arunachal Pradesh,387,145,2
Assam,16806,10894,36
Bihar,17959,12317,160
Chandigarh,588,423,8
Chhattisgarh,4217,3202,19
Dadra and Nagar Haveli and Daman and Diu,495,268,1
Delhi,113740,91312,3411
Goa,2583,1540,17
Gujarat,42722,29770,2055
Haryana,21894,16602,308
Himachal Pradesh,1243,940,11
Jammu and Kashmir,10827,6095,187
Jharkhand,3898,2351,33
Karnataka,41581,16248,757
Kerala,8322,4257,33
Ladakh,1093,946,1
Madhya Pradesh,18207,13208,663
Maharashtra,260924,144507,10482
Manipur,1626,970,0
Meghalaya,318,66,2
Mizoram,233,151,0
Nagaland,845,340,0
Odisha,13737,9255,70
Puducherry,1468,785,18
Punjab,8178,5586,204
Rajasthan,24936,18630,525
Sikkim,192,86,0
Tamil Nadu,142798,92567,2032
Telangana,36221,23679,365
Tripura,2080,1475,2
Uttarakhand,3608,2856,49
Uttar Pradesh,38130,24203,955
West Bengal,31448,19213,956
