state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,259,174,0
Andhra Pradesh,80858,39935,933
Arunachal Pradesh,1056,392,3
Assam,29921,21761,76
Bihar,33926,22343,220
Chandigarh,823,535,13
Chhattisgarh,6731,4567,36
Dadra and Nagar Haveli and Daman and Diu,815,512,2
Delhi,128389,110931,3777
Goa,4540,2865,29
Gujarat,53545,38849,2278
Haryana,29755,22953,382
Himachal Pradesh,1954,1145,11
Jammu and Kashmir,16782,9217,296
Jharkhand,7493,3307,70
Karnataka,85870,31347,1724
Kerala,16995,7562,54
Ladakh,1246,1035,2
Madhya Pradesh,26210,17866,791
Maharashtra,357117,199967,13132
Manipur,2146,1491,0
Meghalaya,588,87,5
Mizoram,361,183,0
Nagaland,1239,537,1
Odisha,22693,15201,120
Puducherry,2515,1483,35
Punjab,12216,8096,282
Rajasthan,34178,24547,602
Sikkim,477,142,0
Tamil Nadu,199749,143297,3320
Telangana,52466,40334,455
Tripura,3759,2131,11
Uttarakhand,5445,3399,60
Uttar Pradesh,60771,37712,1348
