state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,0,33,0
Andhra Pradesh,1268,2349,62
Arunachal Pradesh,3,1,0
Assam,1083,185,4
Bihar,2084,1710,21
Chandigarh,90,199,4
Chhattisgarh,382,115,1
Dadar Nagar Haveli,2,0,0
Delhi,10893,8478,473
Goa,28,42,0
Gujarat,5822,9919,1038
Haryana,1023,1048,20
Himachal Pradesh,206,120,5
Jammu and Kashmir,1491,927,28
Jharkhand,349,256,5
Karnataka,1952,1218,51
Kerala,670,590,9
Ladakh,31,43,0
Madhya Pradesh,2897,4842,350
Maharashtra,36040,29329,2286
Manipur,60,11,0
Meghalaya,14,12,1
Mizoram,0,1,0
Nagaland,43,0,0
Odisha,815,1126,7
Puducherry,45,25,0
Punjab,231,1987,45
Rajasthan,2710,5927,194
Sikkim,1,0,0
Tamil Nadu,9403,12757,173
Telengana,1188,1428,82
Tripura,140,173,0
Uttarakhand,800,102,5
Uttar Pradesh,2901,4709,213
West Bengal,3027,2157,317
