state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,100,50,0
Andhra Pradesh,15252,6988,193
Arunachal Pradesh,195,66,1
Assam,8582,5851,12
Bihar,10249,7946,70
Chandigarh,446,367,6
Chhattisgarh,2940,2303,14
Dadra and Nagar Haveli and Daman and Diu,215,86,0
Delhi,89802,59992,2803
Goa,1387,670,4
Gujarat,33232,24030,1867
Haryana,14941,10499,240
Himachal Pradesh,979,614,10
Jammu and Kashmir,7695,4856,105
Jharkhand,2521,1931,15
Karnataka,16514,8063,253
Kerala,4593,2439,24
Ladakh,990,694,1
Madhya Pradesh,13861,10655,581
Maharashtra,180298,93154,8053
Manipur,1260,579,0
Meghalaya,52,42,1
Mizoram,160,123,0
Nagaland,459,168,0
Odisha,7316,5353,25
Puducherry,714,272,12
Punjab,5668,3867,149
Rajasthan,18312,14574,421
Sikkim,101,53,0
Tamil Nadu,94049,52926,1264
Telangana,17357,8082,267
Tripura,1396,1093,1
Uttarakhand,2947,2317,41
Uttar Pradesh,24056,16629,718
West Bengal,19170,12528,683
