state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,14,11,0
Andhra Pradesh,603,42,15
Arunachal Pradesh,1,0,0
Assam,35,12,1
Bihar,86,37,2
Chandigarh,23,10,0
Chhattisgarh,36,24,0
Delhi,1893,72,42
Goa,7,6,0
Gujarat,1376,93,53
Haryana,225,43,3
Himachal Pradesh,39,16,1
Jammu and Kashmir,341,51,5
Jharkhand,34,0,2
Karnataka,384,104,14
Kerala,400,257,3
Ladakh,18,14,0
Madhya Pradesh,1407,127,70
Maharashtra,3651,365,211
Manipur,2,1,0
Meghalaya,11,0,1
Mizoram,1,0,0
Nagaland#,0,0,0
Odisha,61,24,1
Puducherry,7,3,0
Punjab,202,27,13
Rajasthan,1351,183,11
Tamil Nadu,1372,365,15
Telengana,809,186,18
Tripura,2,1,0
Uttarakhand,42,9,0
Uttar Pradesh,969,86,14
West Bengal,310,62,12
