state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,50,40,0
Andhra Pradesh,10002,4599,119
Arunachal Pradesh,148,22,0
Assam,5831,3762,9
Bihar,8153,6104,56
Chandigarh,418,322,6
Chhattisgarh,2362,1553,12
Dadra and Nagar Haveli and Daman and Diu,120,29,0
Delhi,66602,39313,2301
Goa,909,205,1
Gujarat,28371,20513,1710
Haryana,11520,6498,178
Himachal Pradesh,775,443,8
Jammu and Kashmir,6236,3642,87
Jharkhand,2185,1520,11
Karnataka,9721,6004,150
Kerala,3451,1809,22
Ladakh,932,148,1
Madhya Pradesh,12261,9335,525
Maharashtra,139010,69631,6531
Manipur,921,258,0
Meghalaya,46,37,1
Mizoram,142,9,0
Nagaland,330,141,0
Odisha,5470,3988,17
Puducherry,402,165,9
Punjab,4397,3047,105
Rajasthan,15627,12213,365
Sikkim,79,29,0
Tamil Nadu,64603,35339,833
Telangana,9553,4224,220
Tripura,1259,807,1
Uttarakhand,2535,1602,30
Uttar Pradesh,18893,12116,588
West Bengal,14728,9218,580
