state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,2602,1640,53
Arunachal Pradesh,1,1,0
Assam,170,48,4
Bihar,1674,571,10
Chandigarh,202,57,3
Chhattisgarh,115,59,0
Dadar Nagar Haveli,1,0,0
Delhi,11088,5192,176
Goa,50,7,0
Gujarat,12537,5219,749
Haryana,993,648,14
Himachal Pradesh,110,54,3
Jammu and Kashmir,1390,678,18
Jharkhand,231,127,3
Karnataka,1462,556,41
Kerala,666,502,4
Ladakh,44,43,0
Madhya Pradesh,5735,2733,267
Maharashtra,39297,10318,1390
Manipur,25,2,0
Meghalaya,14,12,1
Mizoram,1,1,0
Odisha,1052,307,6
Puducherry,18,9,0#
Punjab,2005,1794,38
Rajasthan,6015,3404,147
Tamil Nadu,13191,5882,87
Telengana,1661,1015,40
Tripura,173,133,0
Uttarakhand,122,53,1
Uttar Pradesh,5175,3066,127
West Bengal,3103,1136,253
