state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,17,11,0
Andhra Pradesh,813,120,24
Arunachal Pradesh,1,1,0
Assam,35,19,1
Bihar,126,46,2
Chandigarh,27,14,0
Chhattisgarh,36,26,0
Delhi,2156,611,47
Goa,7,7,0
Gujarat,2272,144,95
Haryana,254,127,3
Himachal Pradesh,39,16,1
Jammu and Kashmir,380,81,5
Jharkhand#,45,0,3
Karnataka,425,129,17
Kerala,427,323,3
Ladakh,18,14,0
Madhya Pradesh,1592,148,80
Maharashtra,5221,722,251
Manipur,2,2,0
Meghalaya,12,0,1
Mizoram,1,0,0
Odisha,82,30,1
Puducherry,7,3,0
Punjab,251,49,16
Rajasthan,1801,230,25
Tamil Nadu,1596,635,18
Telengana,945,194,23
Tripura,2,1,0
Uttarakhand,46,19,0
Uttar Pradesh,1412,165,21
West Bengal,423,73,15
