state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,1980,925,45
Arunachal Pradesh,1,1,0
Assam,63,34,2
Bihar,696,365,6
Chandigarh,169,24,2
Chhattisgarh,59,49,0
Dadar Nagar Haveli,1,0,0
Delhi,6923,2069,73
Goa,7,7,0
Gujarat,8194,2545,493
Haryana,703,300,10
Himachal Pradesh,55,39,2
Jammu and Kashmir,861,383,9
Jharkhand,157,78,3
Karnataka,848,424,31
Kerala,512,489,4
Ladakh,42,21,0
Madhya Pradesh,3614,1676,215
Maharashtra,22171,4199,832
Manipur,2,2,0
Meghalaya,13,10,1
Mizoram,1,1,0
Odisha,377,68,3
Puducherry,9,6,0
Punjab,1823,166,31
Rajasthan,3814,2176,107
Tamil Nadu,7204,1959,47
Telengana,1196,750,30
Tripura,150,2,0
Uttarakhand,68,46,1
Uttar Pradesh,3467,1653,74
West Bengal,1939,417,185
