state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,47,36,0
Andhra Pradesh,8452,4111,101
Arunachal Pradesh,135,14,0
Assam,4904,3039,9
Bihar,7533,5529,52
Chandigarh,404,316,6
Chhattisgarh,2041,1394,11
Dadra and Nagar Haveli and Daman and Diu,68,26,0
Delhi,56746,31294,2112
Goa,754,129,0
Gujarat,26680,18694,1638
Haryana,10223,5128,149
Himachal Pradesh,656,413,8
Jammu and Kashmir,5834,3336,81
Jharkhand,1965,1335,11
Karnataka,8697,5391,132
Kerala,3039,1568,21
Ladakh,836,117,1
Madhya Pradesh,11724,8880,501
Maharashtra,128205,64153,5984
Manipur,777,232,0
Meghalaya,44,33,1
Mizoram,140,9,0
Nagaland,201,138,0
Odisha,4856,3534,12
Puducherry,286,118,7
Punjab,3952,2678,98
Rajasthan,14536,11274,337
Sikkim,70,25,0
Tamil Nadu,56845,31316,704
Telangana,7072,3506,203
Tripura,1186,680,1
Uttarakhand,2301,1450,27
Uttar Pradesh,16594,9995,507
West Bengal,13531,7865,540
