state/ut,confirmed,cured/discharged,death
Andaman and Nicobar Islands,33,33,0
Andhra Pradesh,3898,2421,64
Arunachal Pradesh,22,1,0
Assam,1513,324,4
Bihar,4155,1946,24
Chandigarh,301,214,5
Chhattisgarh,564,130,1
Dadar Nagar Haveli,4,1,0
Delhi,22132,9243,556
Goa,79,57,0
Gujarat,17617,11894,1092
Haryana,2652,1069,23
Himachal Pradesh,345,140,5
Jammu and Kashmir,2718,953,33
Jharkhand,712,320,5
Karnataka,3796,1403,52
Kerala,1412,627,11
Ladakh,81,47,1
Madhya Pradesh,8420,5221,364
Maharashtra,72300,31333,2465
Manipur,89,14,0
Meghalaya,27,12,1
Mizoram,13,1,0
Nagaland,49,0,0
Odisha,2245,1325,7
Puducherry,82,25,0
Punjab,2342,2017,46
Rajasthan,9373,6435,203
Sikkim,1,0,0
Tamil Nadu,24586,13706,197
Telengana,2891,1526,92
Tripura,468,173,0
Uttarakhand,1043,252,7
Uttar Pradesh,8361,5030,222
West Bengal,6168,2410,335
